City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,ciudad lazaro cardenas,17.9583,-102.2,31.02,51,42,1.22,MX,1701978425
198,adrar,20.5022,-10.0711,21.65,10,16,4.5,MR,1701978643
199,sitka,57.0531,-135.33,2.94,87,75,3.6,US,1701978643
200,tocopilla,-22.092,-70.1979,21.32,64,21,4.43,CL,1701978643
201,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,72,75,3.0,RU,1701978643
202,kencong,-8.2833,113.3667,25.35,89,100,0.26,ID,1701978644
203,crane,31.3974,-102.3501,23.54,24,0,4.22,US,1701978644
204,castillos,-34.1667,-53.8333,18.73,72,50,7.98,UY,1701978644
205,mariental,-24.6333,17.9667,30.68,10,38,7.75,NA,1701978644
206,olyokminsk,60.3736,120.4264,-33.8,96,100,0.57,RU,1701978644
207,lazaro cardenas,17.9583,-102.2,31.02,51,42,1.22,MX,1701978644
208,christchurch,-43.5333,172.6333,16.29,68,40,5.14,NZ,1701978634
209,saskatoon,52.1168,-106.6345,1.99,92,100,7.2,CA,1701978495
210,tolanaro,-25.0319,46.9987,22.04,94,75,5.14,MG,1701978538
211,east london,-33.0153,27.9116,22.64,88,59,5.17,ZA,1701978645
212,novodvinsk,64.4165,40.8122,-26.23,97,40,1.7,RU,1701978645
213,salinopolis,-0.6136,-47.3561,28.66,75,76,5.48,BR,1701978645
214,smithers,54.7804,-127.1743,-3.82,93,100,1.54,CA,1701978613
215,lanciano,42.2167,14.3882,6.36,80,5,2.45,IT,1701978645
216,quellon,-43.1167,-73.6167,15.33,65,0,4.8,CL,1701978646
217,geraldton,-28.7667,114.6,19.23,72,100,5.66,AU,1701978646
218,coquimbo,-29.9533,-71.3436,18.85,68,20,6.17,CL,1701978646
219,haiku-pauwela,20.9219,-156.3051,25.58,74,20,3.09,US,1701978443
220,sirte,31.2089,16.5887,19.07,57,62,7.99,LY,1701978646
221,ceerigaabo,10.6162,47.368,13.54,42,31,3.59,SO,1701978646
222,princeville,45.7668,-61.2985,-0.64,84,100,6.17,CA,1701978647
223,webuye,0.6075,34.7697,18.21,77,45,1.22,KE,1701978647
224,carutapera,-1.195,-46.02,28.94,71,70,4.29,BR,1701978647
225,martapura,-3.4167,114.85,24.05,100,100,2.57,ID,1701978647
226,paita,-5.0892,-81.1144,23.84,72,26,5.67,PE,1701978558
227,mahavelona,-17.6848,49.5087,25.99,79,96,3.81,MG,1701978647
228,liaoyuan,42.9036,125.1358,0.19,79,5,5.57,CN,1701978647
229,kismayo,-0.3582,42.5454,27.43,75,7,4.65,SO,1701978648
230,smara,26.7384,-11.6719,18.12,64,100,4.08,EH,1701978648
231,livno,43.8269,17.0078,1.53,84,24,2.58,BA,1701978648
232,keflavik,64.0049,-22.5624,1.24,60,0,4.63,IS,1701978648
233,xinzhou,38.4092,112.7333,4.43,38,0,1.0,CN,1701978648
234,porto novo,6.4965,2.6036,28.9,79,100,3.33,BJ,1701978649
235,birobidzhan,48.8,132.95,-20.1,95,14,1.57,RU,1701978649
236,bernay,49.1667,0.6667,4.96,90,100,2.68,FR,1701978649
237,chimore,-16.9833,-65.1333,27.05,92,100,0.36,BO,1701978649
238,ceelbuur,4.685,46.6176,24.8,57,11,5.59,SO,1701978649
239,saarijarvi,62.7049,25.254,-11.91,96,100,2.73,FI,1701978649
240,tazacorte,28.629,-17.9293,20.54,78,40,4.12,ES,1701978365
241,east ballina,-28.8667,153.5833,20.44,81,1,1.22,AU,1701978650
242,medina,24.4686,39.6142,27.24,22,20,3.6,SA,1701978650
243,aykhal,66.0,111.5,-26.87,99,99,2.24,RU,1701978650
244,yumbe,3.4651,31.2469,22.33,63,7,1.72,UG,1701978650
245,lubliniec,50.669,18.6844,-0.84,90,100,0.38,PL,1701978650
246,shimoda,34.6667,138.95,10.31,63,0,1.87,JP,1701978650
247,shenjiamen,29.9576,122.298,15.21,74,0,9.05,CN,1701978650
248,guajara mirim,-10.7828,-65.3394,33.09,52,40,3.09,BR,1701978651
249,zhangjiakou,40.81,114.8794,0.79,51,7,0.14,CN,1701978651
250,chibougamau,49.9168,-74.3659,-14.21,85,20,0.0,CA,1701978651
251,hami,42.8,93.45,0.02,55,41,3.48,CN,1701978651
252,acajutla,13.5928,-89.8275,31.44,52,0,3.68,SV,1701978651
